title_o,doi_o,journal_o,title_r,doi_r,journal_r,apa_ref_r,outcome,outcome_quote,outcome_quote_source,n_replications,comment_text
Reducing the Racial Achievement Gap: A Social-Psychological Intervention,10.1126/science.1128317,Science,Affirmative Intervention to Reduce Stereotype Threat Bias: Experimental Evidence from a Community College,10.1080/00221546.2019.1650582,The Journal of Higher Education,"Baker, D. J., Skinner, B. T., & Redding, C. H. (2019). Affirmative Intervention to Reduce Stereotype Threat Bias: Experimental Evidence from a Community College. The Journal of Higher Education, 91(5), 722–754. https://doi.org/10.1080/00221546.2019.1650582",failed,"Overall, we find little evidence of a positive effect of this one-time affirmation of social identity.",NA,3,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 3 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Baker, D. J., Skinner, B. T., & Redding, C. H. (2019). Affirmative Intervention to Reduce Stereotype Threat Bias: Experimental Evidence from a Community College. The Journal of Higher Education, 91(5), 722–754. https://doi.org/10.1080/00221546.2019.1650582
https://doi.org/10.1080/00221546.2019.1650582

Outcome: failed
Outcome quote: Overall, we find little evidence of a positive effect of this one-time affirmation of social identity.
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Reducing the Racial Achievement Gap: A Social-Psychological Intervention,10.1126/science.1128317,Science,Context Moderates Affirmation Effects on the Ethnic Achievement Gap,10.1177/1948550616646426,Social Psychological and Personality Science,"Protzko, J., & Aronson, J. (2016). Context Moderates Affirmation Effects on the Ethnic Achievement Gap. Social Psychological and Personality Science, 7(6), 500–507. https://doi.org/10.1177/1948550616646426",failed,we found no effect of the affirmation on academic performance.,NA,3,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 3 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Protzko, J., & Aronson, J. (2016). Context Moderates Affirmation Effects on the Ethnic Achievement Gap. Social Psychological and Personality Science, 7(6), 500–507. https://doi.org/10.1177/1948550616646426
https://doi.org/10.1177/1948550616646426

Outcome: failed
Outcome quote: we found no effect of the affirmation on academic performance.
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Emotional and behavioral reactions to social undermining: A closer look at perceived offender motives,10.1016/j.obhdp.2008.06.001,Organizational Behavior and Human Decision Processes,SCORE new data replication of Crossley (2009),NA,NA,"Parsons, E. S., Miske, O., Luis, B., Loomas, Z., Kline Struhl, M., Fox, N. W., … Emery, C. (2026, February 27). SCORE new data replication of Crossley (2009). https://doi.org/10.17605/OSF.IO/7VTY6",failed,"The claim is tested by using structural equation modelling in Stata to replicate Crossley’s final structural model. We found that the indirect effect of malice motive on revenge is positive but marginally significant (alpha = .0715596, se = .038782, p = .065). The claim wasnot replicated at 5% level of significance.",NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Parsons, E. S., Miske, O., Luis, B., Loomas, Z., Kline Struhl, M., Fox, N. W., … Emery, C. (2026, February 27). SCORE new data replication of Crossley (2009). https://doi.org/10.17605/OSF.IO/7VTY6
https://doi.org/NA

Outcome: failed
Outcome quote: The claim is tested by using structural equation modelling in Stata to replicate Crossley’s final structural model. We found that the indirect effect of malice motive on revenge is positive but marginally significant (alpha = .0715596, se = .038782, p = .065). The claim wasnot replicated at 5% level of significance.
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Vividness of mental imagery: Individual variability can be measured objectively,10.1016/j.visres.2006.11.013,Vision Research,Individual variability in mental imagery vividness does not predict perceptual interference with imagery: A replication study of Cui et al. (2007).,10.1037/xge0001756,Journal of Experimental Psychology: General,"Azañón, E., Pounder, Z., Figueroa, A., & Reeder, R. R. (2025). Individual variability in mental imagery vividness does not predict perceptual interference with imagery: A replication study of Cui et al. (2007). Journal of Experimental Psychology: General, 154(7), 2043–2057. https://doi.org/10.1037/xge0001756",failed,We were unable to replicate this effect in either experiment.,NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Azañón, E., Pounder, Z., Figueroa, A., & Reeder, R. R. (2025). Individual variability in mental imagery vividness does not predict perceptual interference with imagery: A replication study of Cui et al. (2007). Journal of Experimental Psychology: General, 154(7), 2043–2057. https://doi.org/10.1037/xge0001756
https://doi.org/10.1037/xge0001756

Outcome: failed
Outcome quote: We were unable to replicate this effect in either experiment.
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Perceiving numbers causes spatial shifts of attention,10.1038/nn1066,Nature Neuroscience,"Registered Replication Report on Fischer, Castel, Dodd, and Pratt (2003)",10.1177/2515245920903079,Advances in Methods and Practices in Psychological Science,"Colling, L. J., Szűcs, D., De Marco, D., Cipora, K., Ulrich, R., Nuerk, H.-C., Soltanlou, M., Bryce, D., Chen, S.-C., Schroeder, P. A., Henare, D. T., Chrystall, C. K., Corballis, P. M., Ansari, D., Goffin, C., Sokolowski, H. M., Hancock, P. J. B., Millen, A. E., Langton, S. R. H., … McShane, B. B. (2020). Registered Replication Report on Fischer, Castel, Dodd, and Pratt (2003). Advances in Methods and Practices in Psychological Science, 3(2), 143–162. https://doi.org/10.1177/2515245920903079",failed,we conclude that we failed to replicate the effect reported by Fischer et al.,NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Colling, L. J., Szűcs, D., De Marco, D., Cipora, K., Ulrich, R., Nuerk, H.-C., Soltanlou, M., Bryce, D., Chen, S.-C., Schroeder, P. A., Henare, D. T., Chrystall, C. K., Corballis, P. M., Ansari, D., Goffin, C., Sokolowski, H. M., Hancock, P. J. B., Millen, A. E., Langton, S. R. H., … McShane, B. B. (2020). Registered Replication Report on Fischer, Castel, Dodd, and Pratt (2003). Advances in Methods and Practices in Psychological Science, 3(2), 143–162. https://doi.org/10.1177/2515245920903079
https://doi.org/10.1177/2515245920903079

Outcome: failed
Outcome quote: we conclude that we failed to replicate the effect reported by Fischer et al.
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Polymorphisms of the human homologue of the Drosophila white gene are associated with mood and panic disorders,10.1038/sj.mp.4000515,Molecular Psychiatry,"Association Study of Suicidal Behavior and Affective Disorders with a Genetic Polymorphism in ABCG1, a Positional Candidate on Chromosome 21q22.3",10.1159/000054847,Neuropsychobiology,"Rujescu, D., Giegling, I., Dahmen, N., Szegedi, A., Anghelescu, I., Gietl, A., Schäfer, M., Müller-Siecheneder, F., Bondy, B., & Möller, H.-J. (2000). Association Study of Suicidal Behavior and Affective Disorders with a Genetic Polymorphism in ABCG1, a Positional Candidate on Chromosome 21q22.3. Neuropsychobiology, 42(Suppl. 1), 22–25. Portico. https://doi.org/10.1159/000054847",failed,"There was no association with affective disorders, either in the replication or in the combined group.",NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Rujescu, D., Giegling, I., Dahmen, N., Szegedi, A., Anghelescu, I., Gietl, A., Schäfer, M., Müller-Siecheneder, F., Bondy, B., & Möller, H.-J. (2000). Association Study of Suicidal Behavior and Affective Disorders with a Genetic Polymorphism in ABCG1, a Positional Candidate on Chromosome 21q22.3. Neuropsychobiology, 42(Suppl. 1), 22–25. Portico. https://doi.org/10.1159/000054847
https://doi.org/10.1159/000054847

Outcome: failed
Outcome quote: There was no association with affective disorders, either in the replication or in the combined group.
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Creating a Profile of a Nurse Effective in Caring,10.1097/01.naq.0000305943.46440.77,Nursing Administration Quarterly,Caritas and job environment: A replication of Persky et al,10.5172/conu.2013.43.2.237,Contemporary Nurse,"M Berry, D., Beth Kaylor, M., Church, J., Campbell, K., Mcmillin, T., & Wamsley, R. (2013). Caritas and job environment: A replication of Persky et al. Contemporary Nurse, 43(2), 237–243. https://doi.org/10.5172/conu.2013.43.2.237",failed,"As nurses’ positive perceptions of the work environment increased, patients’ perceptions of caring increased.",NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: M Berry, D., Beth Kaylor, M., Church, J., Campbell, K., Mcmillin, T., & Wamsley, R. (2013). Caritas and job environment: A replication of Persky et al. Contemporary Nurse, 43(2), 237–243. https://doi.org/10.5172/conu.2013.43.2.237
https://doi.org/10.5172/conu.2013.43.2.237

Outcome: failed
Outcome quote: As nurses’ positive perceptions of the work environment increased, patients’ perceptions of caring increased.
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Are People Polite to Computers? Responses to Computer‐Based Interviewing Systems<sup>1</sup>,10.1111/j.1559-1816.1999.tb00142.x,Journal of Applied Social Psychology,Is the Social Desirability Effect in Human–Robot Interaction overestimated? A Conceptual Replication Study Indicates Less Robust Effects,10.1007/s12369-020-00688-z,International Journal of Social Robotics,"Leichtmann, B., & Nitsch, V. (2020). Is the Social Desirability Effect in Human–Robot Interaction overestimated? A Conceptual Replication Study Indicates Less Robust Effects. International Journal of Social Robotics, 13(5), 1013–1031. https://doi.org/10.1007/s12369-020-00688-z",failed,"However, the data did not support the hypotheses.",NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Leichtmann, B., & Nitsch, V. (2020). Is the Social Desirability Effect in Human–Robot Interaction overestimated? A Conceptual Replication Study Indicates Less Robust Effects. International Journal of Social Robotics, 13(5), 1013–1031. https://doi.org/10.1007/s12369-020-00688-z
https://doi.org/10.1007/s12369-020-00688-z

Outcome: failed
Outcome quote: However, the data did not support the hypotheses.
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Moral credentials and the expression of prejudice.,10.1037/0022-3514.81.1.33,Journal of Personality and Social Psychology,Licensing via Credentials: Replication Registered Report of Monin and Miller (2001) with Extensions Investigating the Domain-Specificity of Moral Credentials and the Association Between the Credential Effect and Trait Reputational Concern,10.5334/irsp.945,International Review of Social Psychology,"Xiao, Q., Li, L. C., Au, Y. L., Tan, S. N., Chung, W. T., & Feldman, G. (2024). Licensing via Credentials: Replication Registered Report of Monin and Miller (2001) with Extensions Investigating the Domain-Specificity of Moral Credentials and the Association Between the Credential Effect and Trait Reputational Concern. International Review of Social Psychology, 37(1), 10. https://doi.org/10.5334/irsp.945",failed,We found no support for a consistent moral credential effect,NA,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Xiao, Q., Li, L. C., Au, Y. L., Tan, S. N., Chung, W. T., & Feldman, G. (2024). Licensing via Credentials: Replication Registered Report of Monin and Miller (2001) with Extensions Investigating the Domain-Specificity of Moral Credentials and the Association Between the Credential Effect and Trait Reputational Concern. International Review of Social Psychology, 37(1), 10. https://doi.org/10.5334/irsp.945
https://doi.org/10.5334/irsp.945

Outcome: failed
Outcome quote: We found no support for a consistent moral credential effect
Quote source: ""Does not appear""

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
"Education, individual time preferences, and asymptomatic disease detection",10.1016/j.socscimed.2015.11.051,Social Science &amp; Medicine,SCORE secondary data replication of Kim & Radoias (2016),NA,NA,"Méndez-Chacón, E., Tyner, A. H., Loomas, Z., Miske, O., Luis, B., & Abatayo, A. (2025, November 18). SCORE secondary data replication of Kim & Radoias (2016). Retrieved from osf.io/tacvb",successful,"""The result suggests that an additional year of schooling reduces the probability of being under-diagnosed by 0.00733, and the effect is statistically significant at the 5% level (p = 0.021). The replication study prioritizes the probit regression without the DISTANCE variable as the final test for the focal hypothesis. Thus, this replication of the claim was successful according to the SCORE criteria.""",OSF report,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Méndez-Chacón, E., Tyner, A. H., Loomas, Z., Miske, O., Luis, B., & Abatayo, A. (2025, November 18). SCORE secondary data replication of Kim & Radoias (2016). Retrieved from osf.io/tacvb
https://doi.org/NA

Outcome: successful
Outcome quote: ""The result suggests that an additional year of schooling reduces the probability of being under-diagnosed by 0.00733, and the effect is statistically significant at the 5% level (p = 0.021). The replication study prioritizes the probit regression without the DISTANCE variable as the final test for the focal hypothesis. Thus, this replication of the claim was successful according to the SCORE criteria.""
Quote source: OSF report

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
Enhancing the Television-Viewing Experience through Commercial Interruptions,10.1086/597030,Journal of Consumer Research,SCORE new data replication of Nelson et al. (2009),NA,NA,"Leahy, K. E., Purol, M., Oh, J., Chopik, W. J., Kline Struhl, M., Miske, O., & Loomas, Z. (2025, November 18). SCORE new data replication of Nelson et al. (2009). Retrieved from osf.io/8hp5j",failed,"""The replication of the claim was unsuccessful according to the SCORE criteria. Specifically, for stage 1 data collection (analytic N = 380), we found no significant difference between conditions. For stage 2 (with additional participants, analytic N = 1125), we found a significant difference between conditions in the opposite direction.",OSF report,1,"According to data from the FORRT Library of Reproduction and Replication Attempts (FLoRA) there are 1 replication attempt(s) of a finding from this study. Future research may learn from replications and build on them. Manual inspection of these articles may help to assess what led to the described outcome.

Replication article reference: Leahy, K. E., Purol, M., Oh, J., Chopik, W. J., Kline Struhl, M., Miske, O., & Loomas, Z. (2025, November 18). SCORE new data replication of Nelson et al. (2009). Retrieved from osf.io/8hp5j
https://doi.org/NA

Outcome: failed
Outcome quote: ""The replication of the claim was unsuccessful according to the SCORE criteria. Specifically, for stage 1 data collection (analytic N = 380), we found no significant difference between conditions. For stage 2 (with additional participants, analytic N = 1125), we found a significant difference between conditions in the opposite direction.
Quote source: OSF report

FLoRA is available online: https://dx.doi.org/10.17605/OSF.IO/9r62x

We describe why and how we submitted these automated comments here: https://github.com/forrtproject/flora-pubpeer/blob/main/README.md

FLoRA Notify Team"
